City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Kutum,SD,14.2,24.6667,82.22,38,100,3.09,overcast clouds
242,Llaillay,CL,-32.85,-70.9667,58.24,50,2,4.65,clear sky
243,Tiznit,MA,29.5833,-9.5,74.21,60,73,2.91,broken clouds
244,Sao Filipe,CV,14.8961,-24.4956,74.23,77,100,13.96,overcast clouds
245,Diffa,NE,13.3154,12.6113,87.24,39,30,8.61,scattered clouds
246,Pishin,PK,30.5803,66.9961,77.16,24,0,4.34,clear sky
247,Sao Raimundo Nonato,BR,-9.0153,-42.6994,82.98,35,3,9.55,clear sky
248,Sete,FR,43.4018,3.6966,73.87,59,100,2.46,overcast clouds
249,Hofn,IS,64.2539,-15.2082,50.13,74,28,15.82,scattered clouds
250,Alice Springs,AU,-23.7,133.8833,40.55,81,0,0.0,clear sky
251,Lata,PT,40.1629,-8.3327,66.7,78,0,2.17,clear sky
252,Amla,IN,21.9333,78.1167,81.0,63,90,6.93,overcast clouds
253,Soyo,AO,-6.1349,12.3689,73.42,85,18,8.86,few clouds
254,Carnarvon,AU,-24.8667,113.6333,68.38,73,88,2.01,overcast clouds
255,Chandbali,IN,20.7833,86.7667,84.63,81,100,12.55,overcast clouds
256,Hobart,AU,-42.8794,147.3294,45.05,86,75,8.05,light rain
257,Novikovo,RU,51.1537,37.8879,60.78,96,46,8.93,scattered clouds
258,Iskateley,RU,67.6803,53.1512,46.36,86,43,10.11,scattered clouds
259,Qaanaaq,GL,77.484,-69.3632,30.69,68,93,1.88,overcast clouds
260,Yumen,CN,40.2833,97.2,67.96,9,39,7.18,scattered clouds
261,Manhattan,US,40.7834,-73.9662,86.79,40,0,9.22,clear sky
262,Jiuquan,CN,39.7432,98.5174,64.36,11,4,1.66,clear sky
263,Manado,ID,1.487,124.8455,75.97,94,20,2.3,few clouds
264,Ossora,RU,59.2353,163.0719,53.15,57,7,0.92,clear sky
265,Lazaro Cardenas,MX,17.9583,-102.2,78.89,85,100,5.46,overcast clouds
266,Hamilton,US,39.1834,-84.5333,97.65,55,0,8.05,clear sky
267,Paita,PE,-5.0892,-81.1144,68.07,73,8,17.49,clear sky
268,Vardo,NO,70.3705,31.1107,42.78,81,75,11.5,broken clouds
269,Guarapari,BR,-20.6667,-40.4975,68.9,75,47,8.99,scattered clouds
270,Hornepayne,CA,49.2138,-84.7705,82.45,36,70,9.78,broken clouds
271,Hualmay,PE,-11.0964,-77.6139,65.64,71,7,10.56,clear sky
272,Hunchun,CN,42.8675,130.3581,52.77,94,100,1.99,overcast clouds
273,Vila Velha,BR,-20.3297,-40.2925,69.75,80,75,11.5,broken clouds
274,Luan,CH,46.3592,6.9759,65.03,64,7,1.01,clear sky
275,Puerto Ayacucho,VE,5.6639,-67.6236,72.64,92,100,0.65,overcast clouds
276,Yanam,IN,16.7333,82.2167,79.77,77,89,1.21,overcast clouds
277,Tuatapere,NZ,-46.1333,167.6833,42.94,90,100,13.18,overcast clouds
278,Kaeo,NZ,-35.1,173.7833,54.32,96,22,8.41,few clouds
279,Sambava,MG,-14.2667,50.1667,70.2,90,38,8.48,scattered clouds
280,Kyzyl-Suu,KG,42.3414,78.0056,55.74,63,39,4.94,scattered clouds
281,Portland,US,45.5234,-122.6762,67.28,56,75,10.36,broken clouds
282,Marmashen,AM,40.8349,43.7779,52.48,94,20,0.0,few clouds
283,Teya,RU,60.3778,92.6267,59.14,91,90,2.73,overcast clouds
284,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,8.05,few clouds
285,Kudahuvadhoo,MV,2.6708,72.8944,82.98,71,14,7.47,few clouds
286,Shaoyang,CN,27.2315,111.4525,67.87,90,92,1.79,overcast clouds
287,At-Bashi,KG,41.1702,75.8106,54.82,47,0,1.77,clear sky
288,Havelock,US,34.8791,-76.9013,89.55,64,40,8.05,scattered clouds
289,Ivanivka,UA,46.7208,34.553,64.98,88,58,11.95,broken clouds
290,Bend,US,44.0582,-121.3153,58.86,43,0,13.8,clear sky
291,San Vicente,AR,-26.6167,-54.1333,52.29,82,0,3.13,clear sky
292,Flinders,AU,-34.5833,150.8552,50.25,77,73,5.99,broken clouds
293,Marawi,PH,7.9986,124.2928,68.38,91,94,2.57,overcast clouds
294,Dunda,TZ,-8.1167,34.25,60.1,72,50,3.58,scattered clouds
295,Enna,IT,37.5588,14.2892,67.53,49,0,0.94,clear sky
296,Provideniya,RU,64.3833,-173.3,37.51,93,100,13.0,fog
297,Laguna,US,38.421,-121.4238,90.28,16,0,13.8,clear sky
298,Waingapu,ID,-9.6567,120.2641,76.78,86,23,8.81,few clouds
299,Mogok,MM,22.9167,96.5,64.98,99,100,2.91,moderate rain
300,Duzce,TR,40.8389,31.1639,64.47,91,72,3.0,broken clouds
301,Fuengirola,ES,36.54,-4.6247,80.85,53,0,6.91,clear sky
302,Ariquemes,BR,-9.9133,-63.0408,77.9,68,66,0.76,broken clouds
303,Fort Saint James,CA,54.4333,-124.25,67.51,27,100,5.75,overcast clouds
304,Cabo San Lucas,MX,22.8909,-109.9124,92.61,30,0,13.8,clear sky
305,San Diego,US,32.7153,-117.1573,87.08,69,40,12.66,scattered clouds
306,Lasa,IT,46.6166,10.7002,65.28,79,42,1.72,scattered clouds
307,Alekseyevsk,RU,57.8406,108.3492,56.01,94,15,0.89,few clouds
308,Vao,NC,-22.6667,167.4833,72.27,81,100,18.81,overcast clouds
309,Hastings,GB,50.8552,0.5729,61.29,71,13,11.5,few clouds
310,Samarai,PG,-10.6167,150.6667,81.03,80,97,10.78,overcast clouds
311,Sinop,TR,41.7711,34.8709,61.32,68,2,4.7,clear sky
312,Bograd,RU,54.2344,90.8328,62.94,81,100,2.95,overcast clouds
313,Bowling Green,US,36.9903,-86.4436,94.93,49,20,5.75,few clouds
314,Leh,IN,34.1667,77.5833,53.46,38,0,5.23,clear sky
315,Tutoia,BR,-2.7619,-42.2744,79.03,78,2,9.91,clear sky
316,Dingle,PH,10.9995,122.6711,76.62,86,64,1.83,broken clouds
317,Muzhi,RU,65.3667,64.6667,53.94,43,99,4.59,overcast clouds
318,Verkhnyaya Inta,RU,65.9811,60.3094,57.92,46,100,6.2,overcast clouds
319,Midland,US,31.9974,-102.0779,103.68,24,0,10.36,clear sky
320,Tshikapa,CD,-6.4167,20.8,75.81,43,26,1.95,scattered clouds
321,Agirish,RU,61.9247,63.0231,55.54,58,100,3.02,overcast clouds
322,Nanakuli,US,21.3906,-158.1547,80.55,69,100,8.05,overcast clouds
323,Mattru,SL,7.6244,-11.8332,74.88,86,97,3.0,overcast clouds
324,Kalakamati,BW,-20.5929,27.3121,54.64,44,0,4.5,clear sky
325,Aksarka,RU,66.5606,67.7975,51.19,61,51,4.43,broken clouds
326,Chabahar,IR,25.2919,60.643,82.63,83,20,7.47,few clouds
327,Naranjal,EC,-2.6667,-79.6167,77.43,81,100,4.03,light rain
328,Victoria,HK,22.2855,114.1577,80.33,91,100,4.0,overcast clouds
329,Luganville,VU,-15.5333,167.1667,80.19,82,98,11.36,overcast clouds
330,Kloulklubed,PW,7.0419,134.2556,77.5,76,100,14.79,overcast clouds
331,Vicuna,CL,-30.0319,-70.7081,64.78,45,100,3.18,overcast clouds
332,Iqaluit,CA,63.7506,-68.5145,47.93,71,75,5.75,broken clouds
333,Bekwai,GH,6.4534,-1.5774,73.11,96,100,3.94,light rain
334,Merritt Island,US,28.5392,-80.672,93.22,70,0,12.66,clear sky
