City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,Bloomingdale,40,US,2022-06-13 21:44:42,71,27.8936,-82.2404,94.23,8.01
77,Salvador,98,SV,2022-06-13 21:44:42,91,13.8333,-88.9167,80.64,3.49
78,Tigzirt,0,DZ,2022-06-13 21:44:42,41,36.8886,4.1198,79.21,7.9
79,Anadyr,0,RU,2022-06-13 21:44:43,57,64.75,177.4833,45.1,13.42
80,Pizarro,100,CO,2022-06-13 21:44:43,89,4.9533,-77.366,77.34,5.97
81,Seguin,0,US,2022-06-13 21:42:33,36,29.5688,-97.9647,103.48,20.71
82,Lavrentiya,100,RU,2022-06-13 21:44:44,65,65.5833,-171.0,38.25,10.89
83,Neenah,100,US,2022-06-13 21:44:44,96,44.1858,-88.4626,68.25,10.36
84,Shar,95,KZ,2022-06-13 21:44:44,68,49.5886,81.0453,64.36,6.98
85,Sorland,100,NO,2022-06-13 21:44:45,95,67.667,12.6934,48.96,17.83
86,North Platte,0,US,2022-06-13 21:44:45,11,41.1239,-100.7654,108.12,19.57
87,Przeworsk,98,PL,2022-06-13 21:44:46,95,50.0591,22.4941,55.92,9.31
88,San Pedro,20,PH,2022-06-13 21:44:46,90,14.35,121.0167,79.83,2.3
89,Jumla,60,NP,2022-06-13 21:44:46,81,29.2747,82.1838,59.07,1.72
90,Bo Phloi,97,TH,2022-06-13 21:44:47,85,14.3236,99.5161,82.31,4.45
91,Nikolskoye,37,RU,2022-06-13 21:45:47,97,59.7035,30.7861,55.78,3.33
92,Curup,92,ID,2022-06-13 21:45:48,96,-3.4667,102.5333,67.73,1.25
93,Hasaki,100,JP,2022-06-13 21:45:48,74,35.7333,140.8333,63.0,14.7
94,Port Elizabeth,0,ZA,2022-06-13 21:44:29,56,-33.918,25.5701,67.1,2.3
95,Kodiak,100,US,2022-06-13 21:41:38,76,57.79,-152.4072,49.51,9.22
96,Kununurra,6,AU,2022-06-13 21:45:49,76,-15.7667,128.7333,51.78,2.3
97,Bluff,100,NZ,2022-06-13 21:45:49,69,-46.6,168.3333,43.81,37.8
98,Puerto Ayora,45,EC,2022-06-13 21:43:52,88,-0.7393,-90.3518,78.76,3.0
99,Kitimat,91,CA,2022-06-13 21:45:50,64,54.0524,-128.6534,61.18,1.99
100,East London,100,ZA,2022-06-13 21:45:50,31,-33.0153,27.9116,77.7,16.98
101,Umm Kaddadah,100,SD,2022-06-13 21:45:50,56,13.6017,26.6876,78.82,13.02
102,Sembe,97,CG,2022-06-13 21:45:51,97,1.6481,14.5806,70.59,1.99
103,Pevek,53,RU,2022-06-13 21:45:51,77,69.7008,170.3133,35.87,5.1
104,New Norfolk,58,AU,2022-06-13 21:44:31,87,-42.7826,147.0587,38.7,3.04
105,Faya,1,SA,2022-06-13 21:45:52,37,18.3851,42.4509,75.31,4.83
106,Narsaq,0,GL,2022-06-13 21:45:53,41,60.9167,-46.05,52.02,17.43
107,Kisangani,100,CD,2022-06-13 21:45:53,83,0.5167,25.2,72.0,0.31
108,Ponta Delgada,40,PT,2022-06-13 21:45:54,77,37.7333,-25.6667,65.5,8.05
109,Klaksvik,100,FO,2022-06-13 21:45:54,96,62.2266,-6.589,50.92,12.28
110,Ust-Nera,100,RU,2022-06-13 21:45:54,90,64.5667,143.2,48.51,1.66
111,Santa Maria,0,BR,2022-06-13 21:44:44,76,-29.6842,-53.8069,52.9,4.61
112,Arinos,72,BR,2022-06-13 21:45:55,43,-15.9169,-46.1056,74.77,4.54
113,Butaritari,18,KI,2022-06-13 21:45:56,77,3.0707,172.7902,81.18,13.35
114,Albany,1,US,2022-06-13 21:44:01,41,42.6001,-73.9662,80.06,3.0
115,Salalah,75,OM,2022-06-13 21:45:56,79,17.0151,54.0924,86.09,6.91
116,Trat,53,TH,2022-06-13 21:45:56,92,12.5,102.5,80.87,1.03
117,Katete,6,UG,2022-06-13 21:45:57,80,-0.7818,29.7544,60.84,3.65
118,Tuktoyaktuk,40,CA,2022-06-13 21:45:57,93,69.4541,-133.0374,35.6,13.8
119,Buraydah,1,SA,2022-06-13 21:45:58,11,26.326,43.975,91.85,7.2
120,Ritchie,100,ZA,2022-06-13 21:45:58,39,-29.038,24.6028,60.01,20.15
121,Serenje,0,ZM,2022-06-13 21:45:58,67,-13.2325,30.2352,50.0,3.56
122,Iralaya,100,HN,2022-06-13 21:45:59,95,15.0,-83.2333,74.73,4.45
123,Sesto Fiorentino,0,IT,2022-06-13 21:45:59,53,43.8345,11.1952,72.41,3.44
124,Sioux Lookout,100,CA,2022-06-13 21:46:00,77,50.1001,-91.917,64.47,8.05
125,Hofn,100,IS,2022-06-13 21:46:00,100,64.2539,-15.2082,50.07,11.83
126,Olhao,0,PT,2022-06-13 21:46:01,81,37.0286,-7.8411,79.29,10.36
127,Ponta Do Sol,53,PT,2022-06-13 21:46:01,68,32.6667,-17.1,70.0,6.31
128,Ixtapa,20,MX,2022-06-13 21:46:01,70,20.7,-105.2,87.22,13.8
129,Fereydunshahr,0,IR,2022-06-13 21:46:02,30,32.941,50.121,55.24,3.47
